ID,alpha,beta,omega,LL,BIC
0.0,0.48644297055442565,0.05198660762559886,0.5997465215955571,-68.39766784154362,152.02085712878872
1.0,0.1679797528347083,0.020973613769949776,0.02023527529778726,-90.40748102341747,196.04048349253642
2.0,0.10768414839352052,0.10580040080398209,0.6617780076886929,-49.55535120425466,114.3362238542108
3.0,0.32697608747479695,0.07008142300484566,0.5070384437953419,-58.18037224624928,131.58626593820003
4.0,0.054996405724010426,0.05548157551593791,0.4190295684602299,-80.8587150742789,176.94295159425928
5.0,0.29378195559896986,0.05828733586500723,0.6955452177416618,-71.40493586228867,158.0353931702788
6.0,0.2641715674003846,0.17096887520311102,0.5558890571937616,-32.21031357122769,79.64614858815685
7.0,0.2825492840809811,0.17333825893565552,0.7765541910097813,-29.830783210823206,74.88708786734789
8.0,0.2380232236349614,0.06564279091028496,0.46391218649234345,-62.180655273192954,139.58683199208738
9.0,0.3764791508331428,0.09737424519849458,0.5030373723424301,-44.13250980687555,103.49054105945257
10.0,0.32172725073327985,0.09560678483644451,0.5379423872564596,-47.97154116938198,111.16860378446543
11.0,0.1566600356065596,0.17069988985090032,0.6120599419504579,-34.89095883228305,85.00743911026757
12.0,0.024537982148679405,0.1216015948079272,0.5171891743141254,-54.1113351994695,123.44819184464048
13.0,0.42193644975735495,0.10092340437315475,0.4866642589587621,-43.27776790517802,101.78105725605751
14.0,0.3196137779736936,0.08377029244091751,0.365798860011223,-42.942554338576485,101.11063012285445
15.0,0.11696124870132922,0.0927630675593384,0.4506732503020453,-54.08266810554166,123.39085765678479
16.0,0.07284686870542906,0.11949682962086909,0.640663450613613,-45.294188097505526,105.81389764071253
17.0,0.4103754700155187,0.08104817451991825,0.3109378136353227,-38.34318668692289,91.91189481954726
18.0,0.9999938786755008,0.031069216191448736,0.6878154305192193,-87.31339622375617,189.85231389321382
19.0,0.4093985352293114,0.13097098088982748,0.6448229210953683,-39.90378744536366,95.0330963364288
20.0,0.051803479607544334,0.1013165902493231,0.45431272472134426,-57.33648365688565,129.89848875947277
21.0,0.06906236861742988,0.08045468290436993,0.4675619082491593,-63.62243634249153,142.47039413068455
22.0,0.0645628951574743,0.13354322956048187,0.6126827497191691,-45.345975873568214,105.9174731928379
23.0,0.43738525639728165,0.027198672350004973,0.28167538548040455,-83.03779676167989,181.30111496906125
24.0,0.22942202407310291,0.05751377681525091,0.40102303947200596,-67.36693007035254,149.95938158640655
25.0,0.01483457663251863,0.11887783191228196,0.29005715326135784,-68.6816478418452,152.58881712939188
26.0,0.045074225433565436,0.06228401622842339,0.44076319381052387,-77.50722624555291,170.2399739368073
27.0,0.7111387645153971,0.03696039480779534,0.7446667062935165,-84.33766022850124,183.90084190270395
28.0,0.20283766252110833,0.1177192212894765,0.6088901616937474,-44.218580158896785,103.66268176349504
29.0,0.026437102810195526,0.03271888657634117,4.549302866623865e-13,-95.89318641262612,207.01189427095372
30.0,0.0016250004836908666,0.7946467170756861,0.029848916307205948,-66.77961001939974,148.78474148450096
31.0,0.3190148513740858,0.07129167013533576,0.4680479288788861,-55.23241221966151,125.6903458850245
32.0,0.03548633992159853,0.17678936222016373,0.5429616234716651,-37.28550508530475,89.79653161631097
33.0,0.012995163373489372,0.1326410529829579,0.18473542209334007,-68.56023156426099,152.34598457422345
34.0,0.07149020340730343,0.06712012239153084,0.44435706114532675,-72.54601896551557,160.31755937673262
35.0,0.1196285124225213,0.051994586012952426,0.5140007495753489,-79.51524749082364,174.25601642734875
36.0,0.3341499076391893,0.03971296807024705,0.44712334302155105,-78.57830944426375,172.38214033422898
37.0,0.03133433815496038,0.17982490672370333,0.6162107532908998,-34.631665322417106,84.48885209053569
38.0,0.06622262305786314,0.08300003823471855,0.4264796172211907,-64.12529012708032,143.4761016998621
39.0,0.20035471424923598,0.0580376041848136,0.5669735678026594,-72.90050584722208,161.02653314014563
40.0,0.2740798062700652,0.07220015291457801,0.43760881057138107,-53.36661372751716,121.9587489007358
41.0,0.7872698255206703,0.023419379456065873,0.10279038192521155,-65.13553127574761,145.4965839971967
42.0,0.15263194572063,0.0846432507572325,0.5454068511692256,-58.42844832712869,132.08241809995886
43.0,0.22911334294784302,0.09588373495635101,0.4287894597884614,-44.850283453066616,104.92608835183471
44.0,0.2506145923361527,0.17063627750851632,0.5738220868394821,-27.535840770043468,70.29720298578842
45.0,0.15179400974572563,0.08306032174136664,0.6732935230654264,-58.10407809191684,131.43367762953517
46.0,0.22198902914059587,0.13449679515971433,0.5906597251888864,-38.82338373355977,92.87228891282102
47.0,0.49516506076323674,0.06018916307615382,0.5476007253570783,-61.51143680242727,138.248395050556
48.0,0.029188272688042517,0.10888518041859989,0.3487686420674398,-59.88436670491461,134.9942548555307
49.0,0.9999999999994493,0.013993679068221665,0.8184024024447342,-104.08099040643393,223.38750225856933
50.0,0.04361121765622152,0.13551313936542864,0.32391269087158897,-47.11131144030047,109.44814432630241
51.0,0.06945874133792435,0.1340295062772864,0.5461184236986268,-44.17866111279361,103.5828436712887
52.0,0.020114121149663496,0.10864192129744567,0.4922194160272711,-60.0742731020894,135.3740676498803
53.0,0.06811133126164265,0.08777827328608988,0.6426924753985351,-58.99352463730037,133.2125707203022
54.0,0.08093057551031964,0.0718311749015068,0.40232280957349953,-66.26112428946776,147.747770024637
55.0,0.9999999999999698,0.038504981117168866,0.8966213905326866,-81.6429983003327,178.5115180463669
56.0,0.48127026131890294,0.04549603041052771,0.6719846130604143,-76.9210906925,169.06770283070148
57.0,0.037448359146339094,0.0365881584981489,0.0039131453216970594,-88.2909088347451,191.80733911519167
58.0,0.4428718884173826,0.025587513038825973,0.4390931702443728,-92.5629213561088,200.35136415791908
59.0,0.14660207386429888,0.20173451816732313,0.670711101520752,-27.259072195738224,69.74366583717793
60.0,0.0007253614803332389,0.8710966170006003,0.05566174761335355,-64.26691272998636,143.7593469056742
61.0,0.2970935311645213,0.07762904504107171,0.32948359408052036,-43.46257910993363,102.15067966556873
62.0,0.23327165777531955,0.12882971492838807,0.5712776982358404,-41.32434126084623,97.87420396739394
63.0,0.02536697482621544,0.15185673550847045,0.38312174905765095,-49.26731222791516,113.7601459015318
64.0,0.05855301154271924,0.05563995753272469,0.5387482153897146,-80.86386845193437,176.9532583495702
65.0,0.18465451287130646,0.13396983164897652,0.60868305065324,-38.92436757021579,93.07425658613306
66.0,0.29170975810081895,0.05987639987883794,0.4780256842399759,-66.68736621377232,148.60025387324612
67.0,0.23028506966899154,0.18783721648541268,0.6083927296599032,-31.133174430939988,77.49187030758145
68.0,0.0700815734884407,0.19451419549541102,0.57426607028498,-30.722330649232486,76.67018274416645
69.0,0.6601415061490998,0.03321234457307039,0.5484926037403592,-81.36238942062371,177.9503002869489
70.0,0.13276352330957555,0.15187802807141398,0.5477329084684799,-37.97227003279062,91.17006151128271
71.0,0.06243032790865789,0.08504623714977434,0.5940435147152203,-61.412055463731775,138.04963237316503
72.0,0.07357365852639597,0.0677637863744919,0.4790457573725979,-71.42898236600729,158.08348617771605
73.0,0.3103448103525853,0.07188864542640411,0.4118108717592713,-50.49910097143234,116.22372338856616
74.0,0.27883146836430667,0.0879463903109045,0.4813126385123091,-50.999045085486195,117.22361161667386
