ID,alphaStable,alphaVolatile,beta,omega,LL,BIC
0.0,0.17929147004768567,0.5288876633762365,0.05685734655139026,0.5775612708293859,-66.66222121507403,153.62513769108335
1.0,0.0568144941666881,0.2171430207038116,0.02401714259971868,0.05115227024754954,-88.50994152911676,197.32057831916882
2.0,0.08272207862364887,0.1759016139683537,0.10387355637592274,0.6758227462913514,-48.930088237633726,118.16087173620275
3.0,0.09635934979582719,0.5092382527074859,0.07971212488945839,0.49833595366607253,-51.35269577393947,123.00608680881425
4.0,0.09590641634507491,1.7313643511645925e-16,0.06389537927902271,0.3876599642687234,-76.03463527669567,172.36996581432663
5.0,0.045914348982680465,0.021842150290372075,0.08725007266354798,0.5107475573954188,-65.3809571232106,151.0626095073565
6.0,0.06651115438999218,0.3451232478873555,0.2203428119461423,0.52903108302875,-21.75736605340642,63.81542736774815
7.0,0.13924132618041465,0.42304390124831603,0.18018929555117494,0.7779353995256465,-28.333421020149274,76.96753730123385
8.0,0.0656063753951388,0.5134092278350568,0.09539232199938255,0.4905765638775576,-47.90164106971412,116.10397740036353
9.0,0.1039137307925614,0.5238726687724649,0.16086694190683395,0.5032537998642808,-28.593954031674155,77.48860332428362
10.0,0.1348126689130498,0.41574372982783797,0.11318539290951544,0.5355180502357714,-43.43330919211691,107.16731364516912
11.0,0.09569629808822529,0.18922666818375358,0.1738588326100205,0.6096707694854654,-33.314077963088835,86.92885118711297
12.0,0.04484673069825233,8.7488117994733635e-16,0.12284243753076547,0.546028111052393,-50.80682056522366,121.91433639138262
13.0,0.03570530809353339,0.5101750359999797,0.13149437525912067,0.4251846078593686,-35.19683857235721,90.69437240564972
14.0,0.015228806549611736,0.3322528594801731,0.13583167821962144,0.29839366030332753,-37.19700685234948,94.69470896563428
15.0,0.12251176304335185,0.1126375010524136,0.09289701262622578,0.44869434990285123,-54.07183437632429,128.44436401358388
16.0,0.08729552891313809,0.06645701918984342,0.11892586293189435,0.6421518896358954,-45.208827898586435,110.71835105810817
17.0,0.27719634477448907,0.5080391377268264,0.08880124582896823,0.3534511428650649,-35.85437586948609,92.00944699990748
18.0,0.702867914713071,0.9999999993049071,0.032518359085261406,0.6669065172848141,-86.85005246153449,194.00080018400428
19.0,0.3242381042083139,0.4455261276074278,0.13178828087455785,0.6418283279605211,-39.55509708112953,99.41088942319436
20.0,0.10055465863683923,0.03689981435082487,0.1029486172192495,0.4747049357766635,-55.28757547280871,130.87584620655272
21.0,0.0885337138230919,3.285732822341445e-17,0.09049547918852364,0.4251148822583368,-61.32565380120438,142.95200286334406
22.0,0.061757752254805724,0.07383720726867511,0.13318608772727072,0.6158897406847721,-45.305216316343866,110.91112789362305
23.0,0.5036141954186611,0.3729877579397314,0.027279066008914,0.2702615831372095,-82.73613194336028,185.77295914765585
24.0,0.14040845241508867,0.46647489760785693,0.05395375419931145,0.40534603980564576,-64.60970220521689,149.52009967136908
25.0,0.004049637689859704,0.005939151041675107,0.2661043467890852,0.13114782297456168,-68.50870013561813,157.31809553217155
26.0,0.16632959379412504,2.61010032279736e-16,0.07466973417338296,0.4229132790539544,-68.26295248708983,156.82660023511497
27.0,0.37809454743945836,0.015986459169407146,0.058767013353908326,0.5511770742148833,-74.40010604065259,169.10090734224048
28.0,0.14839874685092316,0.22109750387485133,0.12028637289971596,0.605970647398735,-43.79519616495236,107.89108759084002
29.0,0.0380503997975104,0.0012323880314232569,0.0319592128232973,7.032932978916678e-15,-94.74140563239463,209.78350652572456
30.0,0.0021953950732316804,0.00019532850101097482,0.9999999999833837,0.02493428161670077,-60.09950614178184,140.499707544499
31.0,0.07226481857658916,0.40205660517406827,0.08292624445771941,0.4559749706715203,-49.407916863689294,119.11652898831389
32.0,0.06869723958924079,0.024631091166532927,0.17510418501881156,0.5700255672355581,-35.79169104683709,91.88407735460947
33.0,0.07759473592597693,0.006286819128938546,0.08678503797667399,0.31991745468709004,-64.0468819372824,148.39445913550009
34.0,0.10576254729194579,0.06035826583890111,0.0664759042546247,0.4467132043043365,-72.10772586865983,164.51614699825495
35.0,0.11234314363767683,0.45090385950398204,0.049721450749878916,0.5701964255478185,-77.514091184472,175.3288776298793
36.0,0.22021212851528998,0.5649899986435633,0.0398277201184146,0.4587143669362593,-76.85948717939245,174.0196696197202
37.0,0.07554347465159829,0.010577475879457149,0.19002600814779183,0.6503811390224662,-31.63569829889833,83.57209185873197
38.0,0.09839615537071943,0.05677006897214623,0.08178416659746801,0.43131790688506144,-63.81472454464243,147.93014435022016
39.0,0.08633648088236001,0.3239019348931101,0.05839527802077002,0.5592590706860177,-70.90637148022415,162.1134382213836
40.0,0.10656666177863779,0.47393858651051346,0.08643327199935612,0.4413873388570741,-44.312474381207515,108.92564402335034
41.0,0.6832880498378107,0.872169877808697,0.023948497495373772,0.1117093006226115,-64.61361985034021,149.52793496161573
42.0,0.14202872279317746,0.20094959121311656,0.08296898792223989,0.5590570598975995,-58.33066074868026,136.96201675829582
43.0,0.14492010022048418,0.2977768097471833,0.10102239763219413,0.4388129310670553,-42.77836345110389,105.8574221631431
44.0,0.14419814534136868,0.3314644311701435,0.1908088976985581,0.5721531337861285,-25.02062143299106,70.34193812691743
45.0,0.09095147853311948,0.19130496011094048,0.08366472131925425,0.674031321788095,-57.698175259040745,135.6970457790168
46.0,0.15944262311181415,0.26370659700250965,0.1365632766615219,0.5880237436883161,-37.833148198592895,95.96699165812109
47.0,0.13095063452468308,0.7092515272162393,0.0720345507135179,0.5449823547627586,-54.75963595949679,129.81996717992888
48.0,0.1117291507924687,0.019161225006575786,0.09690926075169236,0.42236769198448165,-57.2536345507626,134.8079643624605
49.0,1.0,0.7277841905773142,0.013841468032201196,0.813148787199922,-104.02385839649268,228.34841205392067
50.0,0.13493060331646126,0.006001266160608937,0.2043397186658246,0.2519150116198238,-37.44451695027872,95.18972916149275
51.0,0.08608328530994615,0.0616111456240224,0.13435684555406605,0.5495556863587374,-43.95342431568917,108.20754389231365
52.0,0.15074071913344986,8.676923300226601e-15,0.10268232916344067,0.5869404962135147,-54.053948783999886,128.40859282893507
53.0,0.07162536747615858,2.9985887521496467e-15,0.0931829045090902,0.6153491044884577,-58.244255318946905,136.78920589882912
54.0,0.1363355164425356,0.06113672059523547,0.0729208370782471,0.39636314109695353,-65.47635997302638,151.25341520698805
55.0,1.0,0.9129078374827234,0.03835965956934794,0.8935691936470599,-81.61927321608326,183.53924169310181
56.0,0.612995932316947,0.014870924576929144,0.06138529430861111,0.564005048965006,-68.71165357834963,157.72400241763455
57.0,0.03669687205093629,0.03960221648161206,0.036543337105043684,0.004653693667083053,-88.28531592748446,196.87132711590422
58.0,0.30997225982857274,0.5436689563728468,0.02633035677417137,0.4542222427471717,-92.27285437413218,204.84640400919966
59.0,0.12352891949822813,0.16732377844849422,0.20203290758341852,0.6725910852831557,-27.02365853418134,74.34801232929799
60.0,0.0014898260515719497,0.002809511617643474,0.436384299043336,0.11152095037232405,-63.791984318449465,147.88466389783423
61.0,0.09600551847126952,0.42897740965165615,0.11313233513377603,0.372285583310894,-34.168933812008795,88.6385628849529
62.0,0.15002415189237078,0.3162837954697556,0.133587015389551,0.574181342596215,-39.49152474961825,99.2837447601718
63.0,0.0247596625261212,0.02061132158756497,0.15437215679683738,0.3749438019056951,-49.22297671913397,118.74664869920323
64.0,0.12377638910022254,0.001542021940137467,0.05993647574626733,0.5149767282055023,-77.28345412065825,174.8676035022518
