ID,alphaStable,alphaVolatile,beta,omega,recovered1MulAlpha,recovered1MulBeta,recovered1MulLL,recovered1MulBIC,recovered2MulAlphaS,recovered2MulAlphaV,recovered2MulBeta,recovered2MulLL,recovered2MulBIC,recovered1AddAlpha,recovered1AddBeta,recovered1AddOmega,recovered1AddLL,recovered1AddBIC,recovered2AddAlphaS,recovered2AddAlphaV,recovered2AddBeta,recovered2AddOmega,recovered2AddLL,recovered2AddBIC
650,1.0,0.0206113215875649,0.0957727207432591,0.5775612708293859,0.7441005064271927,0.05626178243739485,-74.9137526271445,159.97785288475666,0.8975677588580698,0.028234100040801655,0.1307830845717624,-50.5171780050512,116.25987745580387,0.9999996521801857,0.05143899282991681,0.7578867913081462,-70.27905924271089,155.78363993112325,0.9999996521802208,0.9999996521801504,0.051439103996011454,0.7578867216317315,-70.27905924261445,160.8588137461642
651,0.0686972395892407,0.5288876633762365,0.0138414680322011,0.6418283279605211,0.7431535994872362,0.022056509739932086,-100.87816097100512,211.90666957247788,0.6225179699235681,0.9999999999998288,0.021588590676777573,-100.55987145993006,216.3452643655616,0.9999976828770754,0.018272792684053362,0.6814155624743188,-100.34307405289948,215.91166955150044,0.9999976828770754,0.9999976828770754,0.018272792684053362,0.6814155624743188,-100.34307405289948,220.98684336673426
652,0.0833468995195355,0.3322528594801731,0.0953923219993825,7.032932978916678e-15,0.4308947286213113,0.06348823454071499,-76.85586843539818,163.862084501264,0.21350913354485565,0.7995998291161446,0.07112745355583883,-71.6674639969758,158.56044943965307,0.23548689564537797,0.07280196404034642,0.09697508677800329,-33.77185134136065,82.76922412842278,0.13190525154905244,0.3670505944067154,0.07382339855754375,0.08479563224124109,-29.41167957496363,79.12405441086257
653,0.0775947359259769,0.5245350786087344,0.2020329075834185,0.111520950372324,0.741007263904923,0.0713731403500558,-67.14514840645853,144.4406444433847,0.1842051997312477,0.9257945588180067,0.11949362124711983,-53.375488513064525,121.97649847183052,0.39853244570731144,0.07942278469100184,1.4179509797113335e-07,-28.71695685656288,72.65943515882724,0.13320663607972708,0.5035122187899124,0.10069429999434922,1.4179933884835582e-07,-17.164215704258176,54.62912666945166
654,0.0040496376898597,0.0569893841129546,0.0797121248894583,0.813148787199922,2.515699216734738e-16,0.11310216956722347,-62.97937861173674,136.10910485394115,7.599188765352859e-17,1.8649832127293542e-16,0.1131021701828336,-62.97937861173661,141.1842786691747,1.0,0.056550965196777735,0.9999997928382617,-62.979379094014746,141.18427963373097,1.0,1.0,0.05655109415100124,0.999999792838251,-62.97937909389927,146.25945344873384
655,0.1348126689130498,0.5649899986435633,0.1738588326100205,0.0249342816167007,0.8189296501819835,0.06583411937897606,-68.29970524105707,146.7497581125818,0.2229512000856236,0.9999999999999993,0.14811456830967512,-44.41158661801344,104.04869468172835,0.40679186489446084,0.06269817107034208,2.9720790835522834e-07,-33.75397873867338,82.73347892304824,0.013030402664856097,0.9999968754642053,0.9999998005585498,3.0022802136573877e-07,-3.4671193229237756,27.234933906782857
656,0.1065666617786377,0.4739385865105134,0.0664759042546247,0.5928823840467994,0.20678272242473697,0.05607055419866521,-82.85891894660628,175.8681855236802,0.0322788915868933,0.44754159829353723,0.06571150533201468,-77.64417949793511,170.5138804415717,0.23272227791295289,0.04871136714342186,0.6056784178958979,-78.27569725488218,171.77691595546582,0.03448365081293619,0.42134747160210906,0.05780422981594222,0.5563569541568317,-72.5449175867075,165.3905304343503
657,0.1483987468509231,1.7313643511645923e-16,0.1026823291634406,0.5511770742148833,0.06619842543156469,0.10630604791312781,-64.63859611734398,139.4275398651556,0.13101460471948453,2.9447729132469073e-16,0.12166399829915651,-59.16619804794537,133.55791754159222,0.06266989541029672,0.07729613111105224,0.6157200024745951,-65.88996845532587,147.00545835635322,0.13132503779711968,7.232147842137808e-09,0.09524160367877765,0.575288945569505,-58.65534715100198,137.61138956293928
658,0.1594426231118141,0.0028095116176434,0.0319592128232973,0.5701964255478185,0.09301724879986732,0.029400716231570145,-100.08450535522488,210.3193583409174,0.3802282869464297,0.009322350078817829,0.03265150650021665,-98.31870577054413,211.86293298678973,0.05501158951211152,0.027650238444209087,0.4592342625955119,-99.2992145655477,213.82395057679688,0.29597635630981645,0.011116163573181558,0.02877919368374817,0.4586811087926092,-97.31122457676977,214.92314441447485
659,0.0941133101680455,0.0234570818351487,0.2055674561776539,0.4053460398056457,0.09642155748661459,0.14353900262062125,-52.92628498619187,116.00291760285138,0.24381344513582953,0.04963997369928153,0.16877451253521275,-47.59744851547623,110.42041847665394,0.025063229393677746,0.2568138964511419,0.3223993958540722,-31.85873543742001,78.94299232054149,0.08559863128102872,0.025802712531345542,0.22344195058409522,0.4153714459632761,-28.693474359692424,77.68764398032016
660,0.5036141954186611,3.2857328223414447e-17,0.0829262444577194,0.4229132790539544,0.5404408810387851,0.04423712525041873,-82.26993300040611,174.69021363127987,0.8342491979757709,0.013146390665665031,0.06954075782213211,-70.72948248163263,156.68448640896673,0.47005306855918927,0.038457779996175015,0.6116926427341373,-80.53220076398122,176.28992297366392,0.5193455677656491,0.014131769538888082,0.06634049260333098,0.44730255936703567,-67.01777999756457,154.33625525606445
661,0.1363355164425356,0.4455261276074278,0.1608669419068339,0.4542222427471717,0.39481420100238124,0.11384788231513723,-57.1262556661522,124.40285896277204,0.19666082549603464,0.5772433643324707,0.14710786825513647,-50.55120195532396,116.3279253563494,0.3216476691802014,0.10371188616334656,0.43795620613050695,-39.50327632510701,94.2320740959155,0.1515951910659049,0.4549725524214239,0.14419409375966522,0.4591792721517113,-32.55842886652178,85.41755299397886
662,0.1718545257366995,0.1126375010524136,0.0365433371050436,0.5355180502357714,0.16355825831885648,0.047409524414037486,-90.19810322986557,190.54655409019878,0.29190123763475945,0.12191611229390616,0.04867315298844369,-89.65186559651941,194.5292526387403,0.13122289106151158,0.04116221399155372,0.49418520197853083,-87.25202239110455,189.72956622791057,0.2725758422150728,0.09846379820081991,0.04247193784682435,0.49558305241728,-86.27872185903796,192.85813897901122
