ID,alpha,beta,LL,BIC
0.0,0.3548724386385607,0.07622863282356068,-67.75158269363219,145.65351301773202
1.0,0.2453807042015372,0.025902799263545374,-100.55368328579334,211.25771420205433
2.0,0.07133132954756577,0.1540871641097702,-50.69317315608114,111.53669394262992
3.0,0.398088679049559,0.08518899342607496,-66.22030698056558,142.5909615915988
4.0,0.23357818384276605,0.05142234394096634,-84.18568532422572,178.52171827891908
5.0,0.04989876910823569,0.09045005056822632,-70.62564325114758,151.4016341327628
6.0,0.26845539332013413,0.1790190337897502,-44.403473400012,98.95729443049164
7.0,0.029041402933822878,0.2379867833869947,-36.1583325195861,82.46701266963984
8.0,0.28668719861574754,0.07706782092074317,-70.69097826671147,151.5323041638906
9.0,0.4664252287132713,0.11296468354652571,-56.39607932123974,122.94250627294713
10.0,0.38810077154618244,0.1065205417663032,-58.244055581351674,126.638458793171
11.0,0.13980132796245384,0.2296320065738939,-40.914177090292824,91.9787018110533
12.0,0.04005017898602629,0.12660842244843767,-57.95668175050598,126.06371113147961
13.0,0.5912677987681412,0.12891792611607417,-52.595364109240194,115.34107584894804
14.0,0.4072634004067177,0.0916220875477169,-63.68000897816903,137.5103655868057
15.0,0.22277391773250968,0.09962789298459429,-64.70666960967577,139.5636868498192
16.0,0.06689149966327297,0.16390354387319767,-47.75023141346016,105.65081045738798
17.0,0.6190780546189922,0.10141006812800281,-56.953844832469784,124.05803729540722
18.0,0.8370593885650125,0.038947465849030916,-86.59641114204891,183.34316991456546
19.0,0.2875267155764714,0.16272862666870244,-49.60597492802728,109.36229748652221
20.0,0.08876281573965325,0.09761459723988183,-66.39190325294686,142.93415413636137
21.0,0.17315535793184675,0.08317061602859191,-69.99866468780742,150.1476770060825
22.0,0.06248020161178301,0.1814297340737627,-46.90674791898203,103.9638434684317
23.0,0.5700628569836003,0.03744076389333539,-89.52773374150598,189.20581511347962
24.0,0.4513370878896351,0.06439148392345406,-76.52379126476629,163.19793016000023
25.0,0.07235484493244619,0.07305486876977453,-77.34347280544046,164.83729324134856
26.0,0.08481454731478204,0.05973352658963077,-83.08198254110567,176.314312712679
27.0,0.0495708443283086,0.06690070023233514,-81.38531290754027,172.92097344554819
28.0,0.18427324649353077,0.1371299611827547,-54.645911216885104,119.44217006423786
29.0,0.845753780804731,0.014011580306465809,-105.06577889287648,220.2819054162206
30.0,0.07014336431412835,0.05713634729867888,-85.96206860940569,182.07448484927903
31.0,0.37213102056926306,0.0812975360096988,-66.69650123217919,143.54335009482602
32.0,0.0478223052625034,0.1887313644264349,-43.64548619266256,97.44132001579277
33.0,0.07503029364053009,0.05984713256816405,-83.26600144508649,176.68235052064063
34.0,0.11717697318442048,0.06589441028560723,-80.01509581455548,170.1805392595786
35.0,0.21968480373010332,0.06037058689553269,-81.39810247903506,172.94655258853777
36.0,0.43333210671964845,0.04693506462200277,-84.9012411549109,179.95282994028946
37.0,0.029804911172169702,0.21718635760258156,-38.362629947580935,86.87560752562952
38.0,0.27364875477312905,0.07497101334608468,-71.50873788890556,153.16782340827876
39.0,0.24792619467830132,0.06891796475720346,-76.32984797116967,162.810043572807
40.0,0.3505937502747034,0.08161167173247283,-68.44202711048757,147.0344018514428
41.0,0.9999998850960113,0.04525198989320871,-76.98215091936903,164.11464946920572
42.0,0.19731195027508328,0.10508675609645358,-63.22061111339176,136.5915698572512
43.0,0.31914633258338493,0.0977238713250782,-64.0374491115191,138.22524585350584
44.0,0.24676345303410485,0.2139249757804519,-38.410226509417896,86.97080064930344
45.0,0.0918015408226128,0.11464367017447433,-60.1533274013898,130.45700243324725
46.0,0.2119913106340582,0.17608916186600354,-44.640341086804455,99.43102980407656
47.0,0.603462528317884,0.07238955106748347,-67.74072771442935,145.63180305932636
48.0,0.2029748829972324,0.10591781972956009,-60.73123761223779,131.61282285494323
49.0,0.4957126905250552,0.015674656832550465,-104.90037209416907,219.9510918188058
50.0,0.21801751631446367,0.1034652147186224,-62.90047428888208,135.9512962082318
51.0,0.0866143272202737,0.15251149796665836,-50.67687395970742,111.50409554988249
52.0,0.04280393157624931,0.11461191184805082,-61.390768561926535,132.93188475432072
53.0,0.04984962705899042,0.11940582853634969,-59.18141629643528,128.51318022333822
54.0,0.16377589856768388,0.07302796459927681,-75.54696739396684,161.24428241840133
55.0,0.0032366565156570497,0.06708138607454257,-83.54659077424512,177.24352917895789
56.0,0.42183599645165704,0.06229369460155144,-74.90683920289561,159.96402603625887
57.0,0.22538509104690643,0.01989809012944872,-104.2370905919456,218.62452881435885
58.0,0.6241084748857079,0.03234886561592041,-94.33855865946285,198.82746494939335
59.0,0.11601639069902418,0.35738626822754616,-28.180786190815994,66.51192001209964
