ID,alphaStable,alphaVolatile,beta,recovered1MulAlpha,recovered1MulBeta,recovered1MulLL,recovered1MulBIC,recovered2MulAlphaS,recovered2MulAlphaV,recovered2MulBeta,recovered2MulLL,recovered2MulBIC,recovered1AddAlpha,recovered1AddBeta,recovered1AddOmega,recovered1AddLL,recovered1AddBIC,recovered2AddAlphaS,recovered2AddAlphaV,recovered2AddBeta,recovered2AddOmega,recovered2AddLL,recovered2AddBIC
6328,0.098230625034178,0.3073121647910026,0.0328052021985157,0.2844320102349309,0.04630100497404019,-88.84132689522525,187.83300142091815,0.03457919651572333,0.35748395860659443,0.05061642807932084,-87.71026881431425,190.64605907432997,0.29602945517257884,0.0393600848532068,0.6282017505992462,-86.4422213856781,188.10996421705767,0.12564275422202154,0.36361614588094904,0.04074382584330798,0.6157036045018787,-85.53945395565233,191.37960317223997
6329,0.6317619232324325,0.4633556805940753,0.1064357928952306,0.3022234621127704,0.1012499111572303,-61.50690328192667,133.164154194321,0.38722328841434694,0.2754210488236785,0.10126578557764529,-61.26582612424265,137.75717369418678,0.29532054128464,0.0664048378781471,0.5975744748318708,-64.76085826074204,144.74723796718555,0.3590706897131735,0.2795888046317351,0.0663811682271927,0.6012300396449942,-64.67460016667904,149.64989559429338
6330,0.6068708604299511,0.7698705419042208,0.1178874526884838,0.7638299261619708,0.11660839092649301,-50.36038506035071,110.87111775116907,0.7401683959989924,0.7766633108009096,0.11702368910012215,-50.320371421433116,115.8662642885677,0.6436553833971724,0.05857476090075636,0.48662181912551405,-55.48482027421906,126.1951619941396,0.6735459929222991,0.624507701538314,0.05830688805275224,0.4865554448642581,-55.429077367418955,131.1588499957732
6331,0.206591688004194,0.9548813990069512,0.1901882014296389,0.6814409800447171,0.09881479875857407,-52.736568337058245,115.62348430458414,0.09563792387846184,0.9266585622492501,0.18538870185317566,-35.54501528231413,86.31555201032974,0.6274930966513766,0.06223132697756626,0.5629842692492464,-55.75050725694592,126.72653595959332,0.025615479988680356,0.7846865524017361,0.09999629259153055,0.49020126187222646,-39.22782499487482,98.75634525068494
6332,0.1476892568165309,0.2516985440211119,0.1145173248889673,0.3244148107638544,0.20793825965773655,-39.666848367085834,89.48404436463932,0.40036468153204036,0.3033339036523489,0.21218539550963222,-39.145532842451445,93.51658713060436,0.28085789567934233,0.10616856384419829,0.5569652118141364,-45.63696849596472,106.49945843763092,0.2968729686930995,0.2743955880951216,0.10640854852448488,0.5573982645886296,-45.606998160248175,111.51469158143166
6333,0.9999999999618094,0.5116447587520538,0.0748047382719168,0.7789671062064092,0.06974304286723547,-68.82807159793389,147.80649082633542,0.9451762631010736,0.5593144404089029,0.07379509463130178,-66.27904130242291,147.7836040505473,0.8278092040713485,0.04425706755983949,0.6089718926284554,-73.25576975465643,161.73706095501433,0.9999990471069135,0.6032406587926156,0.04617370137315234,0.6073061914948437,-71.43450532232175,163.1697059055788
6334,0.199234806935505,0.0242093364772391,0.0756147216952191,0.07712578156335244,0.07996857350606168,-74.20218390709745,158.55471544466255,0.13471629832678644,0.0013101518724271729,0.08265949139144242,-72.10342744066408,159.43237632702963,0.06902995525479072,0.05761141391401924,0.5956279669809929,-77.5883099325284,170.40214131075828,0.13656996697186308,0.0035285017296337075,0.061732765363511896,0.5649728332249202,-74.79446455695216,169.88962437483963
6335,0.6654823556092102,0.479702625089821,0.1031236875682876,0.476298172620078,0.06478409309008057,-77.10551030041879,164.36136823130522,0.798852852230306,0.2565273913102182,0.07207629751645092,-72.71958109770858,160.66468364111864,0.5952525532735239,0.05509649279544104,0.6945186303091097,-73.98792656500359,163.20137457570866,0.9070387383136377,0.36104463601627346,0.05787779054299349,0.693622693564109,-70.90651810951275,162.1137314799608
6336,0.1414703799203463,0.3697131875451638,0.2336488779244169,0.2007252774751149,0.20684686064721203,-42.021183669369975,94.1927149692076,0.12185194909031673,0.2678768854929915,0.22646881297902158,-40.03946990059538,95.30446124689223,0.19896287891650238,0.09673542454863815,0.6057050653100547,-51.63101451779037,118.48755048128221,0.12112046226921153,0.2868871337615151,0.09956664323500583,0.6077054346989419,-50.552914179312566,121.40652361956043
6337,0.1011117930027706,0.4436813542130362,0.1753797256047927,0.20233318078962576,0.13961332901848328,-49.93612320014716,110.02259403076197,0.07515187982591204,0.30935065654738014,0.16932343583703463,-44.04998646409494,103.32549437389136,0.1931871547493426,0.08944616874192882,0.58981820284807,-52.98278587226612,121.19109319023372,0.06180704954716556,0.2725500165677986,0.09761279115486088,0.5678750753489595,-49.17145981317151,118.64361488727832
6338,0.1446332857642565,0.0888457845516433,0.1547963038055083,0.10189259029783322,0.15184546612477232,-51.27668446259847,112.70371655566458,0.09427582571658341,0.10338692953574721,0.15214992719939047,-51.26687625439737,117.75927395449621,0.08876055947569562,0.09950463635116352,0.6050026589177725,-54.45946139395678,124.14444423361503,0.10668869459769285,0.08934530788835575,0.09855087597831398,0.6099090199884829,-54.450662469739186,129.20202020041367
6339,0.0621154571328403,0.5919169088909372,0.086335408832849,0.4523442792954569,0.06709190989518599,-73.92448175101362,157.99931113249488,0.04738289422511748,0.6869153498712572,0.09100657536967993,-62.82791641955059,140.88135428480265,0.45177301971610495,0.049536500909717826,0.6180950560316232,-75.26486570763375,165.75525286096897,0.03866536560498171,0.574884394097223,0.06126621068962869,0.538469193677282,-66.0722126729035,152.4451206067423
6340,0.1491350016066897,0.173780609513329,0.2365713820498548,0.15103092485819353,0.1555816673547351,-49.64489659501069,109.44014082048903,0.23405258547471983,0.13077918346793044,0.158493680327563,-48.694960205909396,112.61544185752027,0.18690276264629976,0.0862938288918745,0.6634924382335411,-55.31222728860101,125.84997602290349,0.3565689647588878,0.14190015172537387,0.08970652773922415,0.6608369826333514,-53.80006770690004,127.90083067473537
6341,0.273304309938578,0.420051288433048,0.109070135356447,0.38829701926854926,0.08738247840467765,-64.63194811168874,139.41424385384514,0.3764967365177286,0.39741021201864707,0.08745688530283341,-64.62381628816118,144.47315402202383,0.4009335719866934,0.0661075420561822,0.6236583508754342,-62.97468265791281,141.1748867615271,0.3902898076799402,0.40914458646609364,0.06614589912886627,0.6238084134573105,-62.968994587713894,146.2386844363631
