ID,alpha,beta,omega,recovered1MulAlpha,recovered1MulBeta,recovered1MulLL,recovered1MulBIC,recovered2MulAlphaS,recovered2MulAlphaV,recovered2MulBeta,recovered2MulLL,recovered2MulBIC,recovered1AddAlpha,recovered1AddBeta,recovered1AddOmega,recovered1AddLL,recovered1AddBIC,recovered2AddAlphaS,recovered2AddAlphaV,recovered2AddBeta,recovered2AddOmega,recovered2AddLL,recovered2AddBIC
5616,0.9999999999994492,0.0385049811171688,0.5477329084684799,0.9768105839658615,0.05512671639486825,-66.97801691947362,144.10638146941488,0.9789518037464706,0.9739233564508476,0.05514117366182547,-66.97769982814793,149.18092110199734,0.8584963220442431,0.030623237009738093,0.36267418744493435,-65.94857071772479,147.12266288115106,0.8059839594739107,0.8930797836524118,0.030505210219644145,0.35549070860226495,-65.86255518860035,152.025805638136
5617,0.6601415061490998,0.119496829620869,0.5476007253570783,0.79798322113167,0.13809071746170126,-45.00803901863418,100.16642566773601,0.6283474872472946,0.8827472593428946,0.1569472191332698,-42.581618545963025,100.38875853762752,0.7886551233319427,0.10579876803838122,0.5721373142534842,-34.44739803291944,84.12031751154035,0.6468014716558954,0.9030809524856477,0.11966061314519388,0.5801558425936457,-32.25876904507463,84.81823335108456
5618,0.0694587413379243,0.0598763998788379,0.0556617476133535,0.22795521250414608,0.050435341391888815,-85.05976916482679,180.26988596012123,0.19662784504873224,0.24195455249429876,0.05050373930105901,-84.99695050690488,185.21942245951124,0.08672292172795085,0.0626268510447309,0.05199609083079359,-51.059623661485595,117.34476876867267,0.08114349281373177,0.08720581922645619,0.06296393678167721,0.051715820704412614,-51.051694440561086,122.40408414205748
5619,0.7872698255206703,0.8710966170006003,0.5712776982358404,0.82888884355543,0.5517532458441096,-8.31179692141004,26.77394147328773,0.8344413716290938,0.8244445262424704,0.5457829398576323,-8.292272139366535,31.81006572443455,0.786551066750703,0.9999999993435502,0.560598458336294,-2.9152050440868433,21.055931533875167,0.7145748718697613,0.7818079460922679,0.9999999993435502,0.5511736882182575,-1.8146890643616993,23.930073389658705
5620,0.2506145923361527,0.0234193794560658,0.6426924753985351,0.18378260435654462,0.02310207862399012,-102.46466382646676,215.07967528340117,0.31584026685006084,0.16634642801080163,0.02314924220818624,-102.36889309658937,219.96330763888022,0.22087681830150457,0.01817739240379622,0.595064606119732,-102.82432526706744,220.87417197983635,0.39845415800413525,0.1700623908451191,0.018521578015528912,0.5912665687411842,-102.56950131326963,225.43969788747455
5621,0.2294220240731029,0.0973742451984945,0.5484926037403592,0.19093536415285142,0.12041172600476176,-56.91815042331032,123.9866484770883,0.2313781779721344,0.17838875158749024,0.1189901343381827,-56.71465630066744,128.65483404703636,0.14184105194542376,0.09988458938157459,0.481167880422731,-49.53232318849295,114.29016782268738,0.17196762104690771,0.13692216860781117,0.09945667649924604,0.48243315723340835,-49.423570196227764,119.14783565339084
5622,0.0735736585263959,0.0369603948077953,0.4407631938105238,0.11953552643068392,0.05023831017208892,-88.26732033360834,186.68498829768433,0.0403741194211573,0.1416171016247765,0.052456564675161944,-87.61503188257808,190.45558521085763,0.1221812211442604,0.041011053748243396,0.6034986034652637,-87.16631225901601,189.5581459637335,0.029420087685679636,0.12504518219318497,0.04572962528015908,0.5459546050097411,-86.20984739247274,192.72039004588078
5623,0.2219890291405958,0.194514195495411,0.6955452177416618,0.1963552014764602,0.27328821525044455,-30.08329371015784,70.31693505078333,0.044700090194738966,0.34445082383161674,0.3451919598712914,-24.047614530233737,63.320750506168956,0.3715822433748006,0.28299062078877923,0.7241277654434531,-14.37333577837116,43.9721930024438,0.1378132417910086,0.46320817530261016,0.5604124514913696,0.7051483581842668,-9.31539005707882,38.931475375092944
5624,0.1679797528347083,0.1518567355084704,0.5940435147152203,0.16738619723905626,0.24345993172550354,-37.75321094194626,85.65676951436016,0.07907841050340694,0.20040941218769096,0.2905663773692,-34.883996959946955,84.99351536559539,0.19500318641862657,0.17247451211126363,0.6272751876624708,-32.30941080377428,79.84434305325003,0.1257058781172754,0.23224180356569343,0.18303115535488704,0.6314394491230969,-31.119673182472198,82.5400416258797
5625,0.2028376625211083,0.7946467170756861,0.640663450613613,0.14761053923774503,0.9622748716732282,-9.495689007113342,29.141725644694336,0.09048226234282303,0.1621047479972007,0.9999999999999947,-6.225834895115142,27.677191235931765,0.19977408176945502,0.9999975464983121,0.6614987315387266,-1.1065892669169555,17.43869997953539,0.17060909692041096,0.21778520899219947,0.9999975465899378,0.6622595946932309,-0.8391982513701834,21.979091763675672
5626,0.7111387645153971,0.0776290450410717,0.3294835940805203,0.9469151909466179,0.14894492860983505,-38.73015102747395,87.61064968541555,0.6844553571954606,0.9602843878132062,0.17503315690084448,-37.38769829636762,90.00091803843671,0.6764687500568249,0.06840517423686428,0.296486196514328,-29.21256893150793,73.65065930871734,0.5140143694806121,0.7442039458788821,0.0916810795908378,0.367492051779108,-27.214270884965273,74.72923703086585
5627,0.2380232236349614,0.0519866076255988,0.0556617476133535,0.36315117400936103,0.06683214439528978,-73.73471496443882,157.6197775593453,0.3011006994567424,0.3969166592515739,0.06726998887107594,-73.57575207976464,162.37702560523076,0.25557913597694504,0.058704743798151694,0.2806616796113266,-52.98248364837591,121.1904887424533,0.24836066554148792,0.2597837697473641,0.05856517778109831,0.2805487193435855,-52.975391491430415,126.25147824379613
5628,0.2937819555989698,0.1009234043731547,0.437608810571381,0.4933418630706976,0.1413380954674577,-49.00832424081596,108.16699611209957,0.43038416919069056,0.5493139441366337,0.1439626193042572,-48.54923785242788,112.32399715055723,0.34801017463487127,0.11449764038827591,0.4098508079252695,-31.69674540697533,78.61901225965214,0.3140246656564578,0.3781621916153313,0.1154553417967789,0.41070557835454263,-31.36530010712874,83.03129547519279
5629,0.037448359146339,0.0556399575327246,0.5461184236986268,0.04983686980332672,0.047171856847009544,-91.45006138595116,193.05047040236997,0.2685135330165704,0.0279057591468529,0.0453107448276449,-90.60652628795692,196.43857402161532,0.7105209066551115,0.029482555978268377,0.7841962936928351,-90.7358042167821,196.69712987926567,0.3644033120559186,0.04095428740806649,0.03743856081779777,0.648184210555361,-89.27708273709695,198.8548607351292
