ID,alpha,beta,recovered1MulAlpha,recovered1MulBeta,recovered1MulLL,recovered1MulBIC,recovered2MulAlphaS,recovered2MulAlphaV,recovered2MulBeta,recovered2MulLL,recovered2MulBIC,recovered1AddAlpha,recovered1AddBeta,recovered1AddOmega,recovered1AddLL,recovered1AddBIC,recovered2AddAlphaS,recovered2AddAlphaV,recovered2AddBeta,recovered2AddOmega,recovered2AddLL,recovered2AddBIC
7118,0.4333313004528958,0.1129646813088658,0.3777384971813873,0.11404025686144947,-54.7795266874942,119.70940100545604,0.20350730213564622,0.41945097422324806,0.11850737677648934,-54.14909560442938,123.52371265456023,0.3499745629078367,0.07153447835912682,0.5475526279626158,-58.2052282178753,131.63597788145208,0.05316727798070792,0.37177256945230386,0.07817563872887227,0.5114227905237775,-56.35835671658705,133.0174086941094
7119,0.0495709135506634,0.0916220991035213,0.04344388103788372,0.08533893361775627,-72.26087321460162,154.67209405967088,0.03364462452720368,0.055338279661280305,0.08622518046657152,-72.08800512017046,159.4015316860424,0.999999714776543,0.04070025828845495,0.8964459890233297,-78.73072453538379,172.68697051646905,0.999999714776543,0.999999714776543,0.04070025828845495,0.8964459890233297,-78.73072453538379,177.76214433170287
7120,0.6463189257981863,0.0389474634575446,0.8381237089378659,0.03869263253331957,-85.54665236046694,181.24365235140152,0.9288073197165221,0.6889414222954274,0.03982719434944312,-85.12115158522928,185.46782461616004,0.807162336212679,0.029147625371681675,0.6233870398070097,-88.6480883773154,192.52169820033228,0.9051273124834502,0.54087060129794,0.03054683873514134,0.6118768279179252,-87.82726879147465,195.9552328438846
7121,0.1731553639129876,0.0689179584240069,0.2741488729050058,0.06357177873147382,-78.18184612118515,166.51403987283794,0.5043736462637174,0.11082254540504849,0.0645711803496046,-76.60339699959698,168.43231544489544,0.37280177098163003,0.05008077591809354,0.6544249300129773,-76.64164841168059,168.50881826906266,0.6259978580824728,0.23156514184607518,0.049603323607028016,0.6463535438212277,-75.14420727317415,170.5891098072836
7122,0.4957132309409333,0.0897633758225597,0.41277015276651263,0.11773684014145638,-57.26602638109564,124.68240039265893,0.31837517366640034,0.45927020078503367,0.12101974394944198,-56.61879388325444,128.46310921221036,0.3639429208343987,0.07766928683345856,0.5409083029389582,-55.29375032362308,125.81302209294763,0.29924989022558496,0.3933841365653152,0.07816316722696537,0.5409747513041587,-55.015133838516036,130.33096293796737
7123,0.0713313464663682,0.1146119129170735,0.09786460237519046,0.08451723962358336,-70.11024801175729,150.37084365398223,0.08786734259838723,0.10256578653015797,0.08446885873534107,-70.0917243294482,155.40897010459787,0.10943250296193528,0.059406238968284564,0.6434250369676078,-72.19080203692943,159.60712551956033,0.09765711972659719,0.11389215455633996,0.05941685569261737,0.6427204891528022,-72.17360459648293,164.64790445390116
7124,0.4395218186646927,0.090450039275306,0.2827633958322368,0.09150383765978982,-67.2466765269148,144.64370068429724,0.46018629294585195,0.21176805755487665,0.09474382514334544,-65.42833885520051,146.0821991561025,0.40930250068688656,0.06700663091303237,0.6847423354678412,-65.4345237938382,146.09456903337787,0.546565920789072,0.22199457164032368,0.07066372258869504,0.6662923146662126,-63.42270107287807,147.14609740669144
7125,0.9999999902000636,0.23798677718394,0.9724305867080572,0.23704532184630842,-19.463425276344992,49.077198183157634,0.9473140874835584,0.9999999999999962,0.23709760550655634,-19.28173491099466,53.788991267690804,0.9532524698099116,0.07576467116054375,0.43815914476134826,-19.605280661986974,54.43608276967543,0.9397513176823298,0.96331241691221,0.07564647005524901,0.4373074122384423,-19.595960466791453,59.49261619451821
7126,0.4664252119639598,0.2335524790123838,0.5709420428995958,0.285351778279299,-28.777825671205726,67.7059989728791,0.583797952642902,0.5622845012145176,0.283203373434323,-28.751265130177927,72.72805170605733,0.5413080563815037,0.1782932627255622,0.5503619574902221,-27.908608794281186,71.04273903426385,0.5715356662793503,0.5066960573322995,0.17533234829697364,0.5477806614815652,-27.63928360353823,75.57926246801176
7127,0.0495709135506634,0.1760891635466141,0.04160068707659981,0.1966747627710336,-42.61086879038333,95.3720852112343,0.0505799432271306,0.03316343546401087,0.19913606145137702,-42.3877462732905,100.00101399228248,0.050713619970017484,0.13066103872824278,0.6498048520942691,-43.91689992959179,103.05932130488506,0.19495039552441037,0.0586265019186931,0.12329509728670776,0.6957412663055266,-43.61985555766704,107.54040637626937
7128,0.3759283690676908,0.0816116620181882,0.2710916209103109,0.10068304093036885,-61.81144383102145,133.77323529251055,0.019256376171467873,0.3937134683147531,0.11148400880642952,-58.48096470264089,132.18745085098325,0.3350815201340132,0.07032209737501206,0.6846682416784438,-62.55648415240586,140.3384897505132,0.013068867822550841,0.3507267689241425,0.0841411459600751,0.5942706771940129,-58.80320370990299,137.90710268074127
7129,0.1846119457660341,0.090450039275306,0.18585065691920968,0.08540645474435112,-68.53072168591157,147.2117910022908,0.22130249478707587,0.1609800336500481,0.08607593747131831,-68.39337644817502,152.0122743420515,0.14498649221289006,0.05871739896958265,0.605344207278651,-73.41748380313574,162.06048905197295,0.26497167354438533,0.08042417769546725,0.06324632929060633,0.5803839355236136,-72.12652123350531,164.55373772794593
7130,0.040050174198388,0.032348859817393,0.020465010579548762,0.045723159215955315,-93.86889395298319,197.88813553643402,0.013553432680325075,0.1441211422470079,0.04661575264116913,-92.61261420859232,200.4507498628861,0.9999984226002969,0.02725489816667378,0.8686471048035788,-93.15362315350129,201.53276775270405,0.9999984226002969,0.9999984226002969,0.02725489816667378,0.8686471048035788,-93.15362315350129,206.60794156793787
7131,0.2736496755907504,0.0643914938814107,0.31388318967820994,0.05332858666322505,-81.73344683190948,173.6172412942866,0.17127798654300655,0.41743463507272166,0.05394441958958915,-80.9164290640401,177.05837957378168,0.3116298478097905,0.03848809035419791,0.6029757413467393,-84.56903569779575,184.36359284129298,0.15088218079238236,0.40627547676114006,0.038587828948622976,0.5933787678875341,-83.94558546041063,188.19186618175655
7132,0.3191462992216352,0.0730279533679767,0.34888181502250587,0.06571126393294333,-76.48573208336946,163.12181179720656,0.6653232955784192,0.17273577969950102,0.0763770538497721,-70.68322215012972,156.59196574596092,0.23341011204687725,0.049411187457915805,0.49419105408073233,-75.61790822688238,166.46133789946623,0.5704492076663398,0.13871546955323064,0.05470738835362787,0.480413790549285,-70.00381451823054,160.30832429739638
